id,task,entity,body,annotator,document,created,target
c1c2357d-5077-42b3-a8c8-c17d5a780dfb,d3ce7764-eb85-4999-b965-c028f539ee33,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'me suis repliée', 'context': '0. J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.', 'proba': 1.0, 'process': 'reference word'}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,04386177-799b-4a62-85f2-8a20e80559b2,2024-12-27T08:10:20.354481+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 138, 'endOffset': 153}]}"
0b43766d-db8c-44c7-bc66-3d8b3bb28242,d3ce7764-eb85-4999-b965-c028f539ee33,1,"{'text': 'se replier', 'context': ""1. L'armée était en difficulté, il était préférable de se replier."", 'proba': 0.3}",79c86005-6c54-49e9-840d-012122b552e2,04386177-799b-4a62-85f2-8a20e80559b2,2024-12-27T08:10:25.258030+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 329, 'endOffset': 339}]}"
aedcbced-7599-45f1-a8e5-96c7313f733a,d3ce7764-eb85-4999-b965-c028f539ee33,371a5d39-6e41-427f-8e1f-6bf64504e080,"{'text': 'se replier', 'context': ""1. L'armée était en difficulté, il était préférable de se replier."", 'proba': 0.3}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,04386177-799b-4a62-85f2-8a20e80559b2,2024-12-27T08:10:25.258030+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 329, 'endOffset': 339}]}"
45b26325-ee91-44b8-bd0f-4d97b5ba66bf,d3ce7764-eb85-4999-b965-c028f539ee33,0,"{'text': 'me suis repliée', 'context': '0. J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.', 'proba': 1.0, 'process': 'reference word'}",79c86005-6c54-49e9-840d-012122b552e2,04386177-799b-4a62-85f2-8a20e80559b2,2024-12-27T08:10:20.354481+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 138, 'endOffset': 153}]}"
24a27bee-c678-4b34-8edd-397f9e85991d,d3ce7764-eb85-4999-b965-c028f539ee33,0,"{'text': 'se disputent', 'context': '1. Mes parents se disputent tout le temps, c’est triste.', 'proba': 1.0, 'process': 'reference word'}",79c86005-6c54-49e9-840d-012122b552e2,e6e4ac30-bd74-4a70-bfeb-924ed7f065c0,2024-11-25T11:28:31.022875+00:00,"{'source': 'e6e4ac30-bd74-4a70-bfeb-924ed7f065c0', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 274, 'endOffset': 286}]}"
bbd69d6a-ecda-4cdf-9dc7-70318b837344,d3ce7764-eb85-4999-b965-c028f539ee33,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'se disputent', 'context': '1. Mes parents se disputent tout le temps, c’est triste.', 'proba': 1.0, 'process': 'reference word'}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,e6e4ac30-bd74-4a70-bfeb-924ed7f065c0,2024-11-25T11:28:31.022875+00:00,"{'source': 'e6e4ac30-bd74-4a70-bfeb-924ed7f065c0', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 274, 'endOffset': 286}]}"
495c7782-ddc3-46de-8c4e-f45467a88c1c,d3ce7764-eb85-4999-b965-c028f539ee33,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'se disputait', 'context': '0. La mère se disputait avec son fils en public, c’était gênant.', 'proba': 0.8}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,e6e4ac30-bd74-4a70-bfeb-924ed7f065c0,2024-11-25T11:28:27.710659+00:00,"{'source': 'e6e4ac30-bd74-4a70-bfeb-924ed7f065c0', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 98, 'endOffset': 110}]}"
4561aa8b-50b9-44bd-a9dd-09386554dc1c,d3ce7764-eb85-4999-b965-c028f539ee33,0,"{'text': 'se disputait', 'context': '0. La mère se disputait avec son fils en public, c’était gênant.', 'proba': 0.8}",79c86005-6c54-49e9-840d-012122b552e2,e6e4ac30-bd74-4a70-bfeb-924ed7f065c0,2024-11-25T11:28:27.710659+00:00,"{'source': 'e6e4ac30-bd74-4a70-bfeb-924ed7f065c0', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 98, 'endOffset': 110}]}"
db2bab39-7508-48bc-a827-a83efb530f75,d3ce7764-eb85-4999-b965-c028f539ee33,0,"{'text': 's’est dit', 'context': '1. Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.', 'proba': 0.8}",79c86005-6c54-49e9-840d-012122b552e2,dbb0e4a9-9e12-4161-bfcd-9762abec6244,2024-11-25T11:28:01.502197+00:00,"{'source': 'dbb0e4a9-9e12-4161-bfcd-9762abec6244', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 290, 'endOffset': 299}]}"
8efa00ac-05f7-47a1-b849-8a543f3ca898,d3ce7764-eb85-4999-b965-c028f539ee33,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'se dire', 'context': ""0. C'est mieux de tout se dire quand on veut bien s'entendre entre amis."", 'proba': 1.0, 'process': 'reference word'}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,dbb0e4a9-9e12-4161-bfcd-9762abec6244,2024-11-25T11:27:42.334586+00:00,"{'source': 'dbb0e4a9-9e12-4161-bfcd-9762abec6244', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 106, 'endOffset': 113}]}"
00ec3643-45a9-4264-bbdd-38056a4d58d6,d3ce7764-eb85-4999-b965-c028f539ee33,0,"{'text': 'se dire', 'context': ""0. C'est mieux de tout se dire quand on veut bien s'entendre entre amis."", 'proba': 1.0, 'process': 'reference word'}",79c86005-6c54-49e9-840d-012122b552e2,dbb0e4a9-9e12-4161-bfcd-9762abec6244,2024-11-25T11:27:42.334586+00:00,"{'source': 'dbb0e4a9-9e12-4161-bfcd-9762abec6244', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 106, 'endOffset': 113}]}"
daed9485-0b06-4677-8843-316526c60dfc,d3ce7764-eb85-4999-b965-c028f539ee33,371a5d39-6e41-427f-8e1f-6bf64504e080,"{'text': 's’est dit', 'context': '1. Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.', 'proba': 0.8}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,dbb0e4a9-9e12-4161-bfcd-9762abec6244,2024-11-25T11:28:01.502197+00:00,"{'source': 'dbb0e4a9-9e12-4161-bfcd-9762abec6244', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 290, 'endOffset': 299}]}"
