id,task,entity,body,annotator,document,created,target
aedcbced-7599-45f1-a8e5-96c7313f733a,d3ce7764-eb85-4999-b965-c028f539ee33,371a5d39-6e41-427f-8e1f-6bf64504e080,"{'text': 'se replier', 'context': ""1. L'armée était en difficulté, il était préférable de se replier."", 'proba': 1.0, 'process': 'reference word'}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,04386177-799b-4a62-85f2-8a20e80559b2,2024-12-27T08:10:25.258030+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 329, 'endOffset': 339}]}"
c1c2357d-5077-42b3-a8c8-c17d5a780dfb,d3ce7764-eb85-4999-b965-c028f539ee33,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'me suis repliée', 'context': '0. J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.', 'proba': 0.7}",d34602e1-1664-42cb-b139-c5cb8bcfa2a0,04386177-799b-4a62-85f2-8a20e80559b2,2024-12-27T08:10:20.354481+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 138, 'endOffset': 153}]}"
7354980f-72f2-49f9-853c-72e44a669a10,default,0,"{'text': 'me suis repliée', 'context': '0. J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.', 'proba': 0.7}",8e4d6f85-c0b8-456a-be35-254bc02b6f54,04386177-799b-4a62-85f2-8a20e80559b2,2025-01-03T12:52:03.356279,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 138, 'endOffset': 153}]}"
7aa23f5e-5d78-4fa2-abf0-8d3004129455,d3ce7764-eb85-4999-b965-c028f539ee33,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'se replier', 'context': ""1. L'armée était en difficulté, il était préférable de se replier.""}",eb9a2239-5a6c-4da5-8957-af8a90d3e880,04386177-799b-4a62-85f2-8a20e80559b2,2024-11-26T08:47:17.782035+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 329, 'endOffset': 339}]}"
c67d1e53-6b0b-4011-8aee-9ce0a481bfb1,d3ce7764-eb85-4999-b965-c028f539ee33,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'repliée', 'context': '0. J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.'}",e920598f-774d-4e1c-a2dc-8fb9a6f3053f,04386177-799b-4a62-85f2-8a20e80559b2,2024-11-25T09:16:05.542672+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 146, 'endOffset': 153}]}"
f55b699b-1ccd-4d67-acd9-c1f2435b24be,d3ce7764-eb85-4999-b965-c028f539ee33,371a5d39-6e41-427f-8e1f-6bf64504e080,"{'text': 'je me suis repliée', 'context': '0. J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.'}",eb9a2239-5a6c-4da5-8957-af8a90d3e880,04386177-799b-4a62-85f2-8a20e80559b2,2024-11-26T08:47:56.618143+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 135, 'endOffset': 153}]}"
b6ee978a-8d2c-42d1-b3fb-c36206454d1a,default,371a5d39-6e41-427f-8e1f-6bf64504e080,"{'text': 'se replier', 'context': ""1. L'armée était en difficulté, il était préférable de se replier."", 'proba': 1.0, 'process': 'reference word'}",97dc3ed8-dabc-4b39-8d16-4fc1885a7bcc,04386177-799b-4a62-85f2-8a20e80559b2,2025-01-03T12:52:03.356174,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 329, 'endOffset': 339}]}"
9bf31358-1893-457c-9bdb-5e0184e6f798,d3ce7764-eb85-4999-b965-c028f539ee33,371a5d39-6e41-427f-8e1f-6bf64504e080,"{'text': 'se replier', 'context': ""1. L'armée était en difficulté, il était préférable de se replier.""}",e920598f-774d-4e1c-a2dc-8fb9a6f3053f,04386177-799b-4a62-85f2-8a20e80559b2,2024-12-13T04:21:37.999605+00:00,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 329, 'endOffset': 339}]}"
53164413-1871-41cd-a361-421c6f0e1390,default,1ecf29a6-9193-4a8b-9317-5dc319b94507,"{'text': 'me suis repliée', 'context': '0. J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.', 'proba': 0.7}",97dc3ed8-dabc-4b39-8d16-4fc1885a7bcc,04386177-799b-4a62-85f2-8a20e80559b2,2025-01-03T12:52:03.356279,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 138, 'endOffset': 153}]}"
cad8fa55-5c26-4d60-bdde-9c7476b765a9,default,0,"{'text': 'se replier', 'context': ""1. L'armée était en difficulté, il était préférable de se replier."", 'proba': 1.0, 'process': 'reference word'}",8e4d6f85-c0b8-456a-be35-254bc02b6f54,04386177-799b-4a62-85f2-8a20e80559b2,2025-01-03T12:52:03.356174,"{'source': '04386177-799b-4a62-85f2-8a20e80559b2', 'selector': [{'startContainer': '/', 'endContainer': '/', 'startOffset': 329, 'endOffset': 339}]}"
