id,lang,pos,text,text_meaning,text_romaji,text_hiragana,lemma,lemma_meaning,lemma_romaji,lemma_hiragana,example,context,annotation,document,status,y_pred,pred,process
NA,NA,NOUN,Mississippi,NA,NA,NA,Mississippi,0,NA,NA,NA,"Un soldat de Mississippi a écrit: "" Notre général Reub Davis est un cul vain , coincé , illettré "" .",NA,NA,pending,-6154570724212004857,1.0,NA
NA,NA,NOUN,Mississippi,NA,NA,NA,Mississippi,0,NA,NA,NA,"Raymond Vernon rapporte que les résidents de l' est de St . Louis ont traversé le Mississippi , à travers le centre-ville de St. Louis et à l' ouest de la banlieue pour faire de shopping , tout simplement parce que le stationnement est plus facile à grandes branches qu' il est à cœur de la ville .",NA,NA,pending,-6154570724212004857,0.9,NA
NA,NA,NOUN,Mississippi,NA,NA,NA,Mississippi,0,NA,NA,NA,"Mais en regardant Faulkner dans son arrière-plan à Mississippi et dans le Sud , il est important de ne pas perdre la perspective plus large .",NA,NA,pending,-6154570724212004857,0.9,NA
NA,NA,NOUN,abandon,NA,NA,NA,abandon,0,NA,NA,NA,"Je proposerais , d' abord , un abandon de tentatives d' une liste lexicale universelle , aussi intrinsèquement inexploitable , et opérationnellement inadéquate en proportion qu' elle est réalisée .",NA,NA,pending,1295995514774163947,1.0,NA
NA,NA,NOUN,abandon,NA,NA,NA,abandon,0,NA,NA,NA,"Que cet abandon ait lieu sur une scène , à cours d' une performance ' artique ' , suffit à associer Jacoby à l' art , et à lui faire tomber la punition pour l' art ; c'est-à-dire , il est suspect , coupable , puni , comme n' importe qui dans les histoires de Mann qui produit l' illusion , et c' est vrai même si les éléments constants de la nature artiste , technique , magie , culpabilité et souffrance , sont divisés dans cette histoire entre Jacoby et La^utner .",NA,NA,pending,1295995514774163947,0.8,NA
NA,NA,NOUN,abandon,NA,NA,NA,abandon,0,NA,NA,NA,"Pendant un certain temps après l' abandon de l' usine locale , le courant électrique pour Manchester a été apporté de sud avec un lien d' urgence avec le système Vermont Marble Company à nord .",NA,NA,pending,1295995514774163947,0.8,NA
NA,NA,NOUN,absorption,NA,NA,NA,absorption,0,NA,NA,NA,L' absorption par résonance magnétique a été détectée en utilisant un modèle Varian **f spectromètre à large ligne et le système d' électroaimant de 12 pouces associé .,NA,NA,pending,-5175441899263041420,1.0,NA
NA,NA,NOUN,absorption,NA,NA,NA,absorption,0,NA,NA,NA,Un test de Schilling a démontré une absorption normale de la vitamine * * f .,NA,NA,pending,-5175441899263041420,0.6,NA
NA,NA,NOUN,absorption,NA,NA,NA,absorption,0,NA,NA,NA,"Comme l' absorption de ondes radio dans un matériau semblable à la roche varie en fonction de la longueur de ondes , il devrait être possible d' échantillonner la variation de température à différentes profondeurs sous la surface et éventuellement de détecter des changements dans la structure ou la composition de matériau de surface lunaire .",NA,NA,pending,-5175441899263041420,0.9,NA
NA,NA,NOUN,administrateur,NA,NA,NA,administrateur,0,NA,NA,NA,"Si un contribuable décède , l' exécuteur testamentaire , l' administrateur ou le représentant légal doit produire la déclaration finale pour le défunt à plus tard le 15e jour de 4e mois suivant la clôture de l' année d' impôt normale de contribuable décédé .",NA,NA,pending,-7769939236575295125,1.0,NA
NA,NA,NOUN,administrateur,NA,NA,NA,administrateur,0,NA,NA,NA,Brian Thayer était un administrateur parfaitement honnête et compétent .,NA,NA,pending,-7769939236575295125,0.6,NA
NA,NA,NOUN,administrateur,NA,NA,NA,administrateur,0,NA,NA,NA,"À condition que , si le montant total de l' indemnité n' excède pas 500 $et qu' il n' y ait pas d' exécuteur exécutif ou d' administrateur qualifié , le paiement puisse être effectué à la ou à personnes que le contrôleur général de États-Unis a jugées y avoir droit , sans qu' il soit nécessaire de se conformer à exigences de la loi en ce qui concerne l' administration de successions ;",NA,NA,pending,-7769939236575295125,0.9,NA
NA,NA,NOUN,appel,NA,NA,NA,appel,0,NA,NA,NA,"Un appel à la police avait été placé d' ici quelques minutes après 21 heures , et la première voiture de police était arrivée deux ou trois minutes après cela - il y a 10 minutes maintenant .",NA,NA,pending,7248344771818333928,1.0,NA
NA,NA,NOUN,appel,NA,NA,NA,appel,1,NA,NA,NA,"Compte tenu de ces circonstances , ainsi que de fait que la question à procès à cet égard se concentrait entièrement sur la recommandation de Ministère , que le pétitionnaire a répudiée mais que la commission d' appel et les tribunaux ci-dessous ont trouvées étayées par le dossier , nous ne trouvons aucune pertinence dans le rapport et les notes de conseiller-auditeur .",NA,NA,pending,2355270742845637562,0.2,NA
NA,NA,NOUN,appel,NA,NA,NA,appel,0,NA,NA,NA,"Quand il avait donné l' appel quelques instants pensé , il est allé dans la cuisine pour demander à Mme Yamata de préparer le thé et les sushis pour les visiteurs , en utilisant la porcelaine anglaise formelle et le service de thé d' argent qui avait été donné à la mission , puis il est allé dehors pour inspecter le terrain .",NA,NA,pending,7248344771818333928,0.7,NA
NA,NA,NOUN,boue,NA,NA,NA,boue,0,NA,NA,NA,"Elena , tu auras de la boue partout sur ta robe "" !",NA,NA,pending,-5094204051414005374,1.0,NA
NA,NA,NOUN,boues,NA,NA,NA,boue,1,NA,NA,NA,"L'âge moyen de boues basé sur le déplacement de solides a été calculé à 14,5 jours .",NA,NA,pending,8459465993322849876,0.3,NA
NA,NA,NOUN,boue,NA,NA,NA,boue,0,NA,NA,NA,"Ils ont suivi la boue sur le sol de chêne , sur le tapis .",NA,NA,pending,-5094204051414005374,1.0,NA
NA,NA,NOUN,carte,NA,NA,NA,carte,0,NA,NA,NA,"Maintenant , il ne pouvait jouer que la dernière carte dans ce qui était probablement le pont le plus froid de monde .",NA,NA,pending,-7948678207203030036,1.0,NA
NA,NA,NOUN,cartes,NA,NA,NA,carte,1,NA,NA,NA,Les nouvelles éditions de cartes topographiques réalisées par le gouvernement fédéral sont excellentes pour vous orienter vers les caractéristiques naturelles de site .,NA,NA,pending,5604991837533825214,0.1,NA
NA,NA,NOUN,cartes,NA,NA,NA,carte,0,NA,NA,NA,"( Par exemple , voir l' exemple 2 de la section 5-5 , sur les cartes rouges entre les mains de 5 . )",NA,NA,pending,-7948678207203030036,0.8,NA
NA,NA,ADJ,centrale,NA,NA,NA,central,0,NA,NA,NA,La préoccupation centrale de volume impressionnant d' Erich Auerbach appelé Mimésis est de décrire le passage d' une théorie classique de l' imitation ( basée sur la reconnaissance de niveaux de vérité ) à une théorie chrétienne de l' imitation dans laquelle les niveaux sont dissous .,NA,NA,pending,-1276705114078625501,1.0,NA
NA,NA,ADJ,centrale,NA,NA,NA,central,1,NA,NA,NA,"Dans la grille centrale inférieure , un enregistreur à 8 canaux indique le pourcentage de dioxyde de carbone et d' azote de lobes supérieurs et inférieurs d' un poumon , le volume total d' inhalation par respiration , le débit d' air des deux lobes et la pression de deux lobes par rapport à l' autre .",NA,NA,pending,-6169779143051321867,0.1,NA
NA,NA,ADJ,central,NA,NA,NA,central,0,NA,NA,NA,"à niveau central , le système de vote scrutin uninominal a été sélectionné sur une forme de système scrutin de liste , même si ce dernier avait été recommandé par Duverger et favorisé par tous les partis politiques .",NA,NA,pending,-1276705114078625501,0.8,NA
NA,NA,NOUN,cheminée,NA,NA,NA,cheminée,0,NA,NA,NA,La cheminée de la cabane en face de lui a été surmontée d' un baril de bœuf avec des extrémités cassées .,NA,NA,pending,2394015981891674625,1.0,NA
