pos,text,lemma,lemma_meaning,example,context,y_pred,pred,process
NOUN,objectifs,objectif,0,Depuis combien de temps avez -vous revu les objectifs de votre programme de prestations et de services ?,Depuis combien de temps avez -vous revu les objectifs de votre programme de prestations et de services ?,5102476123390680176,1.0,NA
VERB,permis,permettre,0,"L' avez -vous permis de devenir un programme de dons plutôt qu' un programme qui a pour objectif d' améliorer le moral de employés et , par conséquent , d' accroître la productivité ?","L' avez -vous permis de devenir un programme de dons plutôt qu' un programme qui a pour objectif d' améliorer le moral de employés et , par conséquent , d' accroître la productivité ?",406374946543254636,1.0,NA
VERB,évaluer,évaluer,0,Quels efforts faites -vous pour évaluer les résultats de votre programme ?,Quels efforts faites -vous pour évaluer les résultats de votre programme ?,5618535175286815265,1.0,lone candidate
NOUN,absentéisme,absentéisme,0,"Mesurez -vous son rapport à la réduction de l' absentéisme , de chiffre d' affaires , des accidents et des griefs , ainsi qu' à l' amélioration de la qualité et de la production ?","Mesurez -vous son rapport à la réduction de l' absentéisme , de chiffre d' affaires , des accidents et des griefs , ainsi qu' à l' amélioration de la qualité et de la production ?",1405293146753055483,1.0,lone candidate
NOUN,objectifs,objectif,0,Avez -vous fixé des objectifs spécifiques pour votre publication d' employés ?,Avez -vous fixé des objectifs spécifiques pour votre publication d' employés ?,5102476123390680176,0.9,NA
NOUN,objectifs,objectif,0,Atteindre ces objectifs ?,Atteindre ces objectifs ?,5102476123390680176,0.8,NA
VERB,Utilisez,utiliser,0,"Utilisez -vous les méthodes d' impression les plus économiques , papier , etc.","Utilisez -vous les méthodes d' impression les plus économiques , papier , etc.",352536264044310162,1.0,NA
ADJ,autres,autre,0,Y a -t -il d' autres techniques de communication moins coûteuses qui pourraient être remplacées ?,Y a -t -il d' autres techniques de communication moins coûteuses qui pourraient être remplacées ?,-633111492522486507,1.0,NA
NOUN,attitude,attitude,0,"Votre attitude à l ' égard de avantages sociaux a -t -elle encouragé un excès de travail "" gouvernemental "" gratuit dans votre usine ?","Votre attitude à l ' égard de avantages sociaux a -t -elle encouragé un excès de travail "" gouvernemental "" gratuit dans votre usine ?",5237293101211510948,1.0,lone candidate
ADV,trop,trop,0,Votre agent d' achat offre -t -il un service d' achat trop gratuit pour les employés ?,Votre agent d' achat offre -t -il un service d' achat trop gratuit pour les employés ?,1178289337099408429,1.0,NA
NOUN,éclairage,éclairage,0,"Lorsque de améliorations sont recommandées dans les conditions de travail - comme l' éclairage , les salles de repos , les restaurants , la climatisation - essayez -vous de déterminer leur efficacité sur la productivité ?","Lorsque de améliorations sont recommandées dans les conditions de travail - comme l' éclairage , les salles de repos , les restaurants , la climatisation - essayez -vous de déterminer leur efficacité sur la productivité ?",4288406594724954457,1.0,lone candidate
NOUN,syndicat,syndicat,0,"Lors de la négociation avec votre syndicat , assurez -vous que les employés ont le choix entre de nouveaux avantages et leur coût horaire en salaires .","Lors de la négociation avec votre syndicat , assurez -vous que les employés ont le choix entre de nouveaux avantages et leur coût horaire en salaires .",-3438093857577677533,1.0,NA
VERB,payés,payer,0,"Pouvez -vous envisager de limiter les avantages sociaux supplémentaires à ceux payés par partage de bénéfices , comme cela a été fait dans le contrat syndical récemment signé par American Motors Corporation ?","Pouvez -vous envisager de limiter les avantages sociaux supplémentaires à ceux payés par partage de bénéfices , comme cela a été fait dans le contrat syndical récemment signé par American Motors Corporation ?",6235152224786645072,1.0,NA
VERB,comprennent,comprendre,0,Vos employés comprennent -ils tous les avantages à votre assurance leur donne droit ?,Vos employés comprennent -ils tous les avantages à votre assurance leur donne droit ?,-6340359820970515792,1.0,lone candidate
VERB,encouragés,encourager,0,Sont -ils encouragés à tirer pleinement profit juridique de ces avantages ?,Sont -ils encouragés à tirer pleinement profit juridique de ces avantages ?,-4677964395073686001,1.0,lone candidate
NOUN,valeur,valeur,0,Avez -vous annoncé la valeur de centimes par heure de la part de l' entreprise dans les primes d' assurance ?,Avez -vous annoncé la valeur de centimes par heure de la part de l' entreprise dans les primes d' assurance ?,-8846820805064827337,1.0,lone candidate
VERB,comparé,comparer,0,Quand avez -vous comparé pour la dernière fois vos coûts de primes actuels avec les coûts d' assurance d' autres sources ?,Quand avez -vous comparé pour la dernière fois vos coûts de primes actuels avec les coûts d' assurance d' autres sources ?,-1045833392183381210,1.0,lone candidate
VERB,aider,aider,0,Votre compagnie d' assurances peut -elle vous aider à réduire les coûts administratifs ?,Votre compagnie d' assurances peut -elle vous aider à réduire les coûts administratifs ?,-4568756868564844277,1.0,lone candidate
VERB,Essayez,essayer,0,Essayez -vous de maintenir le principe de programmes de contribution de employés ( par opposition à programmes entièrement payés par l' entreprise ) ?,Essayez -vous de maintenir le principe de programmes de contribution de employés ( par opposition à programmes entièrement payés par l' entreprise ) ?,3061542257306218214,1.0,NA
VERB,Protégez,protéger,0,Protégez -vous vos privilèges de vacances avec une exigence de présence avant et après le jour férié ?,Protégez -vous vos privilèges de vacances avec une exigence de présence avant et après le jour férié ?,-185157518457590393,1.0,lone candidate
NOUN,vacances,vacances,0,Prévoyez -vous de limiter les vacances supplémentaires à la zone et / ou les modèles industriels ?,Prévoyez -vous de limiter les vacances supplémentaires à la zone et / ou les modèles industriels ?,279961264637329955,1.0,NA
VERB,déplacer,déplacer,0,Avez -vous étudié la possibilité de déplacer les vacances en milieu de semaine vers le lundi ou le vendredi afin d' avoir une semaine de travail ininterrompue ?,Avez -vous étudié la possibilité de déplacer les vacances en milieu de semaine vers le lundi ou le vendredi afin d' avoir une semaine de travail ininterrompue ?,8060552260835097887,1.0,lone candidate
ADV,soigneusement,soigneusement,0,Êtes -vous soigneusement policier temps de lavage et périodes de repos pour être sûr que tout autre temps est productif ?,Êtes -vous soigneusement policier temps de lavage et périodes de repos pour être sûr que tout autre temps est productif ?,-2750788994548372771,1.0,lone candidate
VERB,Observez,observer,0,"Observez - vous les horaires de travail de opérateurs de chaudières , des gardes et d' autres opérations de 24 heures par jour , de 7 jours par semaine afin de réduire à minimum les heures supplémentaires ?","Observez - vous les horaires de travail de opérateurs de chaudières , des gardes et d' autres opérations de 24 heures par jour , de 7 jours par semaine afin de réduire à minimum les heures supplémentaires ?",-1763815003302549461,1.0,lone candidate
NOUN,nombre,nombre,0,Faites -vous attention à limiter le nombre de personnes en congé en même temps afin que votre obligation d' emploi totale soit réduite à minimum ?,Faites -vous attention à limiter le nombre de personnes en congé en même temps afin que votre obligation d' emploi totale soit réduite à minimum ?,-8090342310684965866,1.0,NA
