id,lang,pos,text,text_meaning,text_romaji,text_hiragana,lemma,lemma_meaning,lemma_romaji,lemma_hiragana,example,context,annotation,document,status,y_pred,pred,process
1279b89b-0398-541a-879d-4eafd5fe15e2,fr,VERB,se replier,,,,se replier,0,,,"J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.","J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.",,,pending,377674332134198363,1.0,reference word
692c5322-ff73-5176-ba7c-9a5136f57596,fr,VERB,se replier,,,,se replier,1,,,"L'armée était en difficulté, il était préférable de se replier.","L'armée était en difficulté, il était préférable de se replier.",,,pending,-4515399696838498003,0.2,"To compare the meanings of ""se replier"" in both contexts, we need to analyze how the verb is used.

1. In context_1, ""se replier sur moi-même"" suggests a physical or emotional retreat, indicating a sense of withdrawal or curling up, often in response to discomfort or pain.

2. In context_2, ""se replier"" refers to a strategic retreat, particularly in a military context, where forces withdraw to a more defensible position due to difficulties.

While both usages involve the concept of retreating or withdrawing, the specific applications differ significantly: one is personal and emotional, while the other is tactical and military.

Given this analysis, the probability that ""se replier"" in both contexts has the same meaning is low. 

Probability: 0.2 (20%)"
37791973-eec7-5fcd-98dd-3b1709c8b377,fr,VERB,se disputer,,,,se disputer,0,,,"La mère se disputait avec son fils en public, c’était gênant.","La mère se disputait avec son fils en public, c’était gênant.",,,pending,7805097351933154719,1.0,reference word
f67db9fd-cade-5955-9bc9-978ddc6b2046,fr,VERB,se disputer,,,,se disputer,0,,,"Mes parents se disputent tout le temps, c’est triste.","Mes parents se disputent tout le temps, c’est triste.",,,pending,7805097351933154719,0.95,"The words ""se disputer"" in both contexts refer to the act of arguing or having a dispute. The contexts provided illustrate different scenarios of conflict between individuals (a mother and her son in the first context, and parents in the second). However, the core meaning of the verb ""se disputer"" remains consistent across both examples.

Given that the meaning of ""se disputer"" does not change between the two contexts, I would assign a high probability that they have the same meaning in a dictionary.

Probability: 95%"
81f71595-7a31-5167-a47f-c2eafd264944,fr,VERB,se dire,,,,se dire,0,,,"Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.","Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.",,,pending,-3170452149205271687,1.0,reference word
0a06927f-52f4-5a05-bbbd-8d3650a74f9e,fr,VERB,se dire,,,,se dire,0,,,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,,,pending,-3170452149205271687,0.85,"The phrase ""se dire"" in both contexts refers to the act of expressing thoughts or feelings to oneself or to others. In context_1, it indicates a personal reflection or decision made by the subject, while in context_2, it emphasizes the importance of open communication among friends. 

Given that both usages revolve around the concept of expressing or communicating thoughts, I would assess the probability that they have the same meaning as relatively high.

Probability: 85%"
7b892d0d-8431-5c6b-807d-52739a119112,fr,VERB,s'opposer à,,,,s'opposer à,0,,,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,,,pending,-4548724697243154485,1.0,reference word
2e252533-bf10-5c92-8f80-b02768d005e8,fr,VERB,s'opposer à,,,,s'opposer à,0,,,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,,,pending,-4548724697243154485,1.0,"The two instances of the phrase ""s'opposer à"" are identical in both the words and the context provided. Since they are the same phrase used in the same context, the probability that they have the same meaning is 100%. 

Probability: 1.0"
c7fff995-e40b-50f7-83b6-41a29342a1bc,fr,VERB,réaliser,,,,réaliser,0,,,Elle a réalisé sa plus belle invention en 1906.,Elle a réalisé sa plus belle invention en 1906.,,,pending,8351964863426040035,1.0,reference word
33b303d8-5453-4af8-977d-d2e2479350cd,fr,VERB,réaliser,,,,réaliser,0,,,Il a réalisé son rêve de devenir médecin.,Il a réalisé son rêve de devenir médecin.,,,pending,8351964863426040035,0.85,"The word ""réaliser"" in both contexts refers to the act of bringing something into existence or achieving something. In the first context, it pertains to creating an invention, while in the second context, it relates to achieving a dream. Despite the different objects of the verb, the core meaning of ""réaliser"" as to make something real or to accomplish something remains consistent.

Given this analysis, I would assign a high probability that the two instances of ""réaliser"" have the same meaning in a dictionary context.

Probability: 0.85"
b6a0ffc9-9195-4e35-9be6-a668d3d0da71,fr,VERB,réaliser,,,,réaliser,1,,,Elle a réussi à réaliser son rêve de devenir médecin.,Elle a réussi à réaliser son rêve de devenir médecin.,,,pending,-3587138454181513156,0.3,"The word ""réaliser"" in both contexts can be interpreted in different ways. In the first context, it refers to the act of creating or inventing something (""to create"" or ""to make""), while in the second context, it refers to the act of achieving or fulfilling a dream (""to achieve"" or ""to fulfill""). 

Given these interpretations, the probability that both instances of ""réaliser"" have the same meaning is relatively low, as they convey different aspects of realization. 

Therefore, I would estimate the probability that they have the same meaning in a dictionary to be around 30%."
