pos,text,lemma,lemma_meaning,example,context,y_pred,pred,process
NOUN,objectifs,objectif,0,Depuis combien de temps avez -vous revu les objectifs de votre programme de prestations et de services ?,Depuis combien de temps avez -vous revu les objectifs de votre programme de prestations et de services ?,5102476123390680176,1.0,reference word
VERB,permis,permettre,0,"L' avez -vous permis de devenir un programme de dons plutôt qu' un programme qui a pour objectif d' améliorer le moral de employés et , par conséquent , d' accroître la productivité ?","L' avez -vous permis de devenir un programme de dons plutôt qu' un programme qui a pour objectif d' améliorer le moral de employés et , par conséquent , d' accroître la productivité ?",406374946543254636,1.0,reference word
VERB,évaluer,évaluer,0,Quels efforts faites -vous pour évaluer les résultats de votre programme ?,Quels efforts faites -vous pour évaluer les résultats de votre programme ?,5618535175286815265,1.0,lone candidate
NOUN,absentéisme,absentéisme,0,"Mesurez -vous son rapport à la réduction de l' absentéisme , de chiffre d' affaires , des accidents et des griefs , ainsi qu' à l' amélioration de la qualité et de la production ?","Mesurez -vous son rapport à la réduction de l' absentéisme , de chiffre d' affaires , des accidents et des griefs , ainsi qu' à l' amélioration de la qualité et de la production ?",1405293146753055483,1.0,lone candidate
NOUN,objectifs,objectif,0,Avez -vous fixé des objectifs spécifiques pour votre publication d' employés ?,Avez -vous fixé des objectifs spécifiques pour votre publication d' employés ?,5102476123390680176,0.95,"The word ""objectifs"" in both contexts refers to goals or targets that are set for a program or publication. Since the meaning of ""objectifs"" remains consistent in both contexts, I would assess the probability that they have the same meaning as high.

Probability that they have the same meaning: 0.95"
NOUN,objectifs,objectif,0,Atteindre ces objectifs ?,Atteindre ces objectifs ?,5102476123390680176,0.95,"The words ""objectifs"" in both contexts refer to goals or targets that are intended to be achieved. In the first context, it discusses reviewing the objectives of a program, while in the second context, it is about reaching those objectives. Since both usages pertain to the same concept of goals or aims, I would assess the probability that they have the same meaning as high.

Probability: 0.95"
VERB,Utilisez,utiliser,0,"Utilisez -vous les méthodes d' impression les plus économiques , papier , etc.","Utilisez -vous les méthodes d' impression les plus économiques , papier , etc.",352536264044310162,1.0,reference word
ADJ,autres,autre,0,Y a -t -il d' autres techniques de communication moins coûteuses qui pourraient être remplacées ?,Y a -t -il d' autres techniques de communication moins coûteuses qui pourraient être remplacées ?,-633111492522486507,1.0,reference word
NOUN,attitude,attitude,0,"Votre attitude à l ' égard de avantages sociaux a -t -elle encouragé un excès de travail "" gouvernemental "" gratuit dans votre usine ?","Votre attitude à l ' égard de avantages sociaux a -t -elle encouragé un excès de travail "" gouvernemental "" gratuit dans votre usine ?",5237293101211510948,1.0,lone candidate
ADV,trop,trop,0,Votre agent d' achat offre -t -il un service d' achat trop gratuit pour les employés ?,Votre agent d' achat offre -t -il un service d' achat trop gratuit pour les employés ?,1178289337099408429,1.0,reference word
NOUN,éclairage,éclairage,0,"Lorsque de améliorations sont recommandées dans les conditions de travail - comme l' éclairage , les salles de repos , les restaurants , la climatisation - essayez -vous de déterminer leur efficacité sur la productivité ?","Lorsque de améliorations sont recommandées dans les conditions de travail - comme l' éclairage , les salles de repos , les restaurants , la climatisation - essayez -vous de déterminer leur efficacité sur la productivité ?",4288406594724954457,1.0,lone candidate
NOUN,syndicat,syndicat,0,"Lors de la négociation avec votre syndicat , assurez -vous que les employés ont le choix entre de nouveaux avantages et leur coût horaire en salaires .","Lors de la négociation avec votre syndicat , assurez -vous que les employés ont le choix entre de nouveaux avantages et leur coût horaire en salaires .",-3438093857577677533,1.0,reference word
VERB,payés,payer,0,"Pouvez -vous envisager de limiter les avantages sociaux supplémentaires à ceux payés par partage de bénéfices , comme cela a été fait dans le contrat syndical récemment signé par American Motors Corporation ?","Pouvez -vous envisager de limiter les avantages sociaux supplémentaires à ceux payés par partage de bénéfices , comme cela a été fait dans le contrat syndical récemment signé par American Motors Corporation ?",6235152224786645072,1.0,reference word
VERB,comprennent,comprendre,0,Vos employés comprennent -ils tous les avantages à votre assurance leur donne droit ?,Vos employés comprennent -ils tous les avantages à votre assurance leur donne droit ?,-6340359820970515792,1.0,lone candidate
VERB,encouragés,encourager,0,Sont -ils encouragés à tirer pleinement profit juridique de ces avantages ?,Sont -ils encouragés à tirer pleinement profit juridique de ces avantages ?,-4677964395073686001,1.0,lone candidate
NOUN,valeur,valeur,0,Avez -vous annoncé la valeur de centimes par heure de la part de l' entreprise dans les primes d' assurance ?,Avez -vous annoncé la valeur de centimes par heure de la part de l' entreprise dans les primes d' assurance ?,-8846820805064827337,1.0,lone candidate
VERB,comparé,comparer,0,Quand avez -vous comparé pour la dernière fois vos coûts de primes actuels avec les coûts d' assurance d' autres sources ?,Quand avez -vous comparé pour la dernière fois vos coûts de primes actuels avec les coûts d' assurance d' autres sources ?,-1045833392183381210,1.0,lone candidate
